CCTV,#genre#
HZTV-1,http://192.168.31.155:4022/udp/239.77.1.232:5146
HZTV-1,http://192.168.31.155:4022/udp/239.77.0.247:5146
HZTV-1,http://192.168.31.155:4022/udp/239.77.1.154:5146
HZTV-2,http://192.168.31.155:4022/udp/239.77.1.233:5146
HZTV-2,http://192.168.31.155:4022/udp/239.77.0.248:5146
HZTV-2,http://192.168.31.155:4022/udp/239.77.1.173:5146
珠海-1,http://192.168.31.155:4022/udp/239.77.0.155:5146
珠海-1,http://192.168.31.155:4022/udp/239.77.1.230:5146
珠海-2,http://192.168.31.155:4022/udp/239.77.0.154:5146
珠海-2,http://192.168.31.155:4022/udp/239.77.1.231:5146
肇庆综合,http://192.168.31.155:4022/udp/239.253.43.1:5146
肇庆综合,http://192.168.31.155:4022/udp/239.253.43.3:5146
肇庆生活服务,http://192.168.31.155:4022/udp/239.253.43.2:5146
肇庆生活服务,http://192.168.31.155:4022/udp/239.253.43.4:5146
河源综合,http://192.168.31.155:4022/udp/239.253.43.213:5146
河源综合,http://192.168.31.155:4022/udp/239.253.43.215:5146
河源公共,http://192.168.31.155:4022/udp/239.253.43.214:5146
河源公共,http://192.168.31.155:4022/udp/239.253.43.216:5146
清远新闻综合,http://192.168.31.155:4022/udp/239.253.43.33:5146
清远新闻综合,http://192.168.31.155:4022/udp/239.253.43.31:5146
清远文旅生活,http://192.168.31.155:4022/udp/239.253.43.34:5146
清远文旅生活,http://192.168.31.155:4022/udp/239.253.43.32:5146
清远文旅生活,http://192.168.31.155:4022/udp/239.77.0.241:5146
云浮综合,http://192.168.31.155:4022/udp/239.77.0.253:5146
云浮综合,http://192.168.31.155:4022/udp/239.253.43.195:5146
云浮文旅,http://192.168.31.155:4022/udp/239.77.0.254:5146
云浮文旅,http://192.168.31.155:4022/udp/239.253.43.194:5146
茂名综合,http://192.168.31.155:4022/udp/239.77.0.206:5146
茂名综合,http://192.168.31.155:4022/udp/239.77.0.204:5146
茂名公共,http://192.168.31.155:4022/udp/239.77.0.207:5146
茂名公共,http://192.168.31.155:4022/udp/239.77.0.205:5146
汕头综合,http://192.168.31.155:4022/udp/239.77.1.130:5146
汕头综合,http://192.168.31.155:4022/udp/239.253.43.45:5146
汕头综合,http://192.168.31.155:4022/udp/239.253.43.30:5146
汕头经济生活,http://192.168.31.155:4022/udp/239.77.1.131:5146
汕头经济生活,http://192.168.31.155:4022/udp/239.253.43.46:5146
汕头经济生活,http://192.168.31.155:4022/udp/239.253.43.43:5146
汕头文旅体育,http://192.168.31.155:4022/udp/239.77.1.132:5146
汕头文旅体育,http://192.168.31.155:4022/udp/239.253.43.47:5146
汕头文旅体育,http://192.168.31.155:4022/udp/239.253.43.44:5146
佛山公共,http://192.168.31.155:4022/udp/239.253.43.53:5146
佛山公共,http://192.168.31.155:4022/udp/239.253.43.48:5146
佛山南海,http://192.168.31.155:4022/udp/239.253.43.54:5146
佛山南海,http://192.168.31.155:4022/udp/239.253.43.49:5146
佛山南海,http://192.168.31.155:4022/udp/239.77.0.236:5146
佛山顺德,http://192.168.31.155:4022/udp/239.253.43.55:5146
佛山顺德,http://192.168.31.155:4022/udp/239.253.43.50:5146
佛山影视,http://192.168.31.155:4022/udp/239.253.43.56:5146
佛山影视,http://192.168.31.155:4022/udp/239.253.43.51:5146
佛山综合,http://192.168.31.155:4022/udp/239.253.43.57:5146
佛山综合,http://192.168.31.155:4022/udp/239.253.43.52:5146
东莞新闻综合,http://192.168.31.155:4022/udp/239.253.43.104:5146
东莞新闻综合,http://192.168.31.155:4022/udp/239.253.43.102:5146
东莞生活资讯,http://192.168.31.155:4022/udp/239.253.43.103:5146
东莞生活资讯,http://192.168.31.155:4022/udp/239.253.43.105:5146
中山综合,http://192.168.31.155:4022/udp/239.253.43.62:5146
中山综合,http://192.168.31.155:4022/udp/239.253.43.59:5146
香山文化,http://192.168.31.155:4022/udp/239.253.43.63:5146
香山文化,http://192.168.31.155:4022/udp/239.253.43.60:5146
中山教育,http://192.168.31.155:4022/udp/239.253.43.64:5146
中山教育,http://192.168.31.155:4022/udp/239.253.43.61:5146
徐闻综合,http://192.168.31.155:4022/udp/239.253.43.112:5146
少儿,#genre#
广东少儿,http://192.168.31.155:4022/udp/239.77.0.250:5146
广东少儿,http://192.168.31.155:4022/udp/239.77.0.12:5146
嘉佳卡通,http://192.168.31.155:4022/udp/239.77.0.179:5146
嘉佳卡通,http://192.168.31.155:4022/udp/239.77.0.13:5146
嘉佳卡通,http://192.168.31.155:4022/udp/239.77.1.15:5146
卡酷少儿,http://192.168.31.155:4022/udp/239.77.0.79:5146
卡酷少儿,http://192.168.31.155:4022/udp/239.77.1.50:5146
金鹰卡通,http://192.168.31.155:4022/udp/239.77.0.164:5146
金鹰卡通,http://192.168.31.155:4022/udp/239.77.0.80:5146
金鹰卡通,http://192.168.31.155:4022/udp/239.77.1.52:5146
哈哈炫动,http://192.168.31.155:4022/udp/239.77.0.81:5146
哈哈炫动,http://192.168.31.155:4022/udp/239.77.1.139:5146
优漫卡通,http://192.168.31.155:4022/udp/239.77.0.222:5146
优漫卡通,http://192.168.31.155:4022/udp/239.77.1.79:5146
少儿动画,http://192.168.31.155:4022/udp/239.77.0.109:5146
IPTV少儿动画,http://192.168.31.155:4022/udp/239.77.1.91:5146
新动漫,http://192.168.31.155:4022/udp/239.77.1.136:5146


卫视,#genre#
湖南卫视,http://192.168.31.155:4022/udp/239.77.0.127:5146
湖南卫视,http://192.168.31.155:4022/udp/239.77.1.5:5146
湖南卫视,http://192.168.31.155:4022/udp/239.77.0.88:5146
湖南卫视,http://192.168.31.155:4022/udp/239.77.0.46:5146
湖南卫视,http://192.168.31.155:4022/udp/239.77.1.29:5146
浙江卫视,http://192.168.31.155:4022/udp/239.77.1.33:5146
浙江卫视,http://192.168.31.155:4022/udp/239.77.0.89:5146
浙江卫视,http://192.168.31.155:4022/udp/239.77.0.47:5146
浙江卫视,http://192.168.31.155:4022/udp/239.77.1.32:5146
江苏卫视,http://192.168.31.155:4022/udp/239.77.1.18:5146
江苏卫视,http://192.168.31.155:4022/udp/239.77.0.90:5146
江苏卫视,http://192.168.31.155:4022/udp/239.77.0.48:5146
江苏卫视,http://192.168.31.155:4022/udp/239.77.1.40:5146
东方卫视,http://192.168.31.155:4022/udp/239.77.1.218:5146
东方卫视,http://192.168.31.155:4022/udp/239.77.0.98:5146
东方卫视,http://192.168.31.155:4022/udp/239.77.0.49:5146
东方卫视,http://192.168.31.155:4022/udp/239.77.1.48:5146
安徽卫视,http://192.168.31.155:4022/udp/239.77.1.92:5146
安徽卫视,http://192.168.31.155:4022/udp/239.77.0.183:5146
安徽卫视,http://192.168.31.155:4022/udp/239.77.0.50:5146
安徽卫视,http://192.168.31.155:4022/udp/239.77.1.13:5146
北京卫视,http://192.168.31.155:4022/udp/239.77.1.4:5146
北京卫视,http://192.168.31.155:4022/udp/239.77.1.151:5146
北京卫视,http://192.168.31.155:4022/udp/239.77.0.91:5146
北京卫视,http://192.168.31.155:4022/udp/239.77.0.51:5146
北京卫视,http://192.168.31.155:4022/udp/239.77.1.14:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.0.131:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.1.141:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.1.182:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.0.97:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.0.52:5146
天津卫视,http://192.168.31.155:4022/udp/239.77.1.37:5146
山东卫视,http://192.168.31.155:4022/udp/239.77.1.142:5146
山东卫视,http://192.168.31.155:4022/udp/239.77.0.94:5146
山东卫视,http://192.168.31.155:4022/udp/239.77.0.53:5146
山东卫视,http://192.168.31.155:4022/udp/239.77.1.66:5146
江西卫视,http://192.168.31.155:4022/udp/239.77.1.219:5146
江西卫视,http://192.168.31.155:4022/udp/239.77.0.149:5146
江西卫视,http://192.168.31.155:4022/udp/239.77.0.54:5146
江西卫视,http://192.168.31.155:4022/udp/239.77.1.73:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.0.128:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.1.93:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.1.174:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.0.95:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.0.56:5146
湖北卫视,http://192.168.31.155:4022/udp/239.77.1.44:5146
辽宁卫视,http://192.168.31.155:4022/udp/239.77.1.103:5146
辽宁卫视,http://192.168.31.155:4022/udp/239.77.0.123:5146
辽宁卫视,http://192.168.31.155:4022/udp/239.77.0.57:5146
辽宁卫视,http://192.168.31.155:4022/udp/239.77.1.62:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.0.124:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.1.6:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.1.179:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.0.93:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.0.58:5146
黑龙江卫视,http://192.168.31.155:4022/udp/239.77.1.71:5146
贵州卫视,http://192.168.31.155:4022/udp/239.77.1.221:5146
贵州卫视,http://192.168.31.155:4022/udp/239.77.0.230:5146
贵州卫视,http://192.168.31.155:4022/udp/239.77.0.59:5146
贵州卫视,http://192.168.31.155:4022/udp/239.77.1.61:5146
四川卫视,http://192.168.31.155:4022/udp/239.77.1.215:5146
四川卫视,http://192.168.31.155:4022/udp/239.77.0.159:5146
四川卫视,http://192.168.31.155:4022/udp/239.77.0.60:5146
四川卫视,http://192.168.31.155:4022/udp/239.77.1.30:5146
河南卫视,http://192.168.31.155:4022/udp/239.77.1.229:5146
河南卫视,http://192.168.31.155:4022/udp/239.77.0.17:5146
河南卫视,http://192.168.31.155:4022/udp/239.77.0.61:5146
河南卫视,http://192.168.31.155:4022/udp/239.77.1.58:5146
云南卫视,http://192.168.31.155:4022/udp/239.253.43.37:5146
云南卫视,http://192.168.31.155:4022/udp/239.253.43.100:5146
云南卫视,http://192.168.31.155:4022/udp/239.77.0.62:5146
云南卫视,http://192.168.31.155:4022/udp/239.77.1.72:5146
重庆卫视,http://192.168.31.155:4022/udp/239.77.1.162:5146
重庆卫视,http://192.168.31.155:4022/udp/239.77.0.182:5146
重庆卫视,http://192.168.31.155:4022/udp/239.77.0.63:5146
重庆卫视,http://192.168.31.155:4022/udp/239.77.1.16:5146
河北卫视,http://192.168.31.155:4022/udp/239.77.1.214:5146
河北卫视,http://192.168.31.155:4022/udp/239.77.0.148:5146
河北卫视,http://192.168.31.155:4022/udp/239.77.0.64:5146
河北卫视,http://192.168.31.155:4022/udp/239.77.1.60:5146
东南卫视,http://192.168.31.155:4022/udp/239.77.1.104:5146
东南卫视,http://192.168.31.155:4022/udp/239.77.0.146:5146
东南卫视,http://192.168.31.155:4022/udp/239.77.0.65:5146
东南卫视,http://192.168.31.155:4022/udp/239.77.1.1:5146
